Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
2dd8887d-6ce5-8c2b-0358-176a5c99cbac,2020-12-29,,999-21-7673,,,,Ferdinand55,Oberbrunner298,,,,white,nonhispanic,M,Longmeadow  Massachusetts  US,248 Reynolds Tunnel Unit 31,Taunton,Massachusetts,Bristol County,25005,02780,41.89974802181456,-71.0016429089373,1426.84,7380.61,29932
87f44a39-7a5c-562b-9908-9524628762e0,2005-05-18,,999-90-3341,S99984453,,Mr.,Levi940,Hartmann983,,,,white,nonhispanic,M,Haverhill  Massachusetts  US,318 Nienow Road Unit 87,Brookline,Massachusetts,Norfolk County,25021,02446,42.34776214208736,-71.16813527906712,40288.55,5501.10,44919
96cea926-9a25-dd87-2eec-ab40e4de7985,2001-03-11,,999-25-3108,S99943588,X9352962X,Mr.,Florencio463,Adams676,,,,white,nonhispanic,M,Salem  Massachusetts  US,838 Schamberger Meadow Apt 37,Quincy,Massachusetts,Norfolk County,25021,02169,42.220895155006225,-70.97663898014424,34674.94,6050.33,38646
faa51fc7-e131-0ebc-2540-1ef4d2b720a5,1996-12-04,2009-07-03,999-81-9716,,,,Crysta430,Bogisich202,,,,white,nonhispanic,F,Springfield  Massachusetts  US,363 Koch Junction,Worcester,Massachusetts,Worcester County,25027,01609,42.30251503501394,-71.71367051222148,25769.47,10030.92,57062
91a4e065-7940-522d-6b02-8db663f8d028,1978-04-10,,999-46-8284,S99970521,X74479913X,Mr.,Roderick835,King743,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,968 Muller Terrace Unit 4,Waltham,Massachusetts,Middlesex County,25017,02472,42.37283172336106,-71.1364839490066,73256.16,0.00,47676
22d095e7-70aa-d4b4-b4c9-2dca2f08f503,2007-02-26,,999-66-7640,S99974254,,,Eduardo902,Bermúdez789,,,,white,hispanic,M,San Jose  San Jose  CR,636 Kreiger Divide Suite 68,Saugus,Massachusetts,Essex County,25009,01906,42.4436947350925,-71.02084310149718,60383.12,649742.79,114537
3c467b44-6367-cacc-1f00-736cd6af152e,2018-05-18,,999-76-4344,,,,Eldridge510,Dickinson688,,,,black,nonhispanic,M,Newburyport  Massachusetts  US,1035 Farrell Extension Suite 35,Whitman,Massachusetts,Plymouth County,,00000,42.04272477664778,-70.90921392282947,7236.49,2034.42,60090
2f9b6a45-bd08-6b33-dbf1-27249b6ccbce,1996-12-04,,999-68-1053,S99967148,X58735443X,Ms.,Katharina121,Huel628,,,,white,nonhispanic,F,East Longmeadow  Massachusetts  US,111 Schinner Manor Apt 46,Worcester,Massachusetts,Worcester County,25027,01608,42.243572051578994,-71.72780279483669,552198.69,52673.40,57062
45842680-1eb9-62f8-7d94-87cc9069e40b,2000-03-04,,999-66-5352,S99971603,X33843321X,Ms.,Jannette265,Gleason633,,,,white,nonhispanic,F,Pepperell  Massachusetts  US,289 Walker Alley,Peabody,Massachusetts,Essex County,25009,01960,42.49527379266908,-71.00051550236684,34945.64,793720.69,56529
d30e4a2b-93b3-ace2-7fe5-fdebc9907c01,1994-12-14,,999-69-3247,S99926180,X13938095X,Ms.,Ana972,Negrón227,,,S,white,hispanic,F,Carolina  Puerto Rico  PR,409 Stark Stravenue Apt 19,Plymouth,Massachusetts,Plymouth County,25023,02360,41.92801556525305,-70.66156466966824,162186.63,233742.09,93296
31eb051b-b6c4-1792-5553-e27f7c216fc7,1961-12-02,,999-27-4484,S99927603,X84632393X,Mr.,Joaquin141,Barton704,,,M,white,nonhispanic,M,Lawrence  Massachusetts  US,456 Upton Crossing Suite 98,Auburn,Massachusetts,Worcester County,,00000,42.15637418775153,-71.89157854956964,148240.61,40257.39,122324
f6747adb-ab4a-17eb-8f22-4bee2b9fa4cc,1977-08-22,,999-12-4335,S99922256,X51397206X,Mrs.,Brandee895,Ziemann98,,DuBuque211,M,asian,nonhispanic,F,Ho Chi Minh City  Gia Định  VN,376 Witting Passage Unit 70,Dunstable,Massachusetts,Middlesex County,,00000,42.688921159936655,-71.54084396326746,352991.80,368040.36,91218
b4659934-14a2-5ebc-0f49-3c2e714ce983,2001-06-01,,999-36-3128,S99921011,X25239303X,Ms.,Chandra831,Emard19,,,,white,nonhispanic,F,Boston  Massachusetts  US,622 Bins Quay,Springfield,Massachusetts,Hampden County,25013,01103,42.161544395838,-72.62407585412211,61059.46,125194.86,104439
24519634-c1d4-a4d4-24f3-9199fee1b846,2020-09-20,,999-55-1640,,,,Gil594,Reichel38,,,,white,nonhispanic,M,Middleborough  Massachusetts  US,391 Kshlerin Club Unit 12,Holbrook,Massachusetts,Norfolk County,25021,02343,42.11131150102024,-70.98246176719415,10224.23,0.00,62872
13c9b37a-e4a2-aa0e-aee3-750c95b884b1,1964-04-24,,999-75-4088,S99998005,X10228013X,Mrs.,Minta575,Sipes176,,Padberg411,M,white,nonhispanic,F,West Concord  Massachusetts  US,251 Mosciski Byway Suite 85,Saugus,Massachusetts,Essex County,25009,01906,42.4916815473165,-70.98357566992632,20785.91,1156504.41,15380
6a343bb4-31fb-aaf2-4216-03a680cbe3a5,1978-03-24,,999-86-8136,S99965797,X16641616X,Mrs.,Loretta235,Bradtke547,,Stoltenberg489,D,white,nonhispanic,F,Worcester  Massachusetts  US,548 Wuckert Approach,Shutesbury,Massachusetts,Franklin County,,00000,42.45052252731913,-72.44399964063027,75448.62,592337.39,197528
157f8b79-344d-3083-a6a3-448b74949bca,2013-12-26,,999-31-1440,,,,Kathlyn335,Sporer811,,,,white,nonhispanic,F,Agawam  Massachusetts  US,827 Fahey Ferry,Rehoboth,Massachusetts,Bristol County,,00000,41.85131190156249,-71.21292072454256,11922.97,17030.57,83560
1434ce08-24d8-d117-3367-c85bc7f3f621,1954-11-17,1999-09-15,999-88-4895,S99983556,X82263276X,Mrs.,Ardell826,Herman763,,Bechtelar572,M,white,nonhispanic,F,Methuen  Massachusetts  US,652 Schuppe Club,Plymouth,Massachusetts,Plymouth County,25023,02360,41.845841355779534,-70.60278320754114,959126.14,780006.20,53332
a87d0a93-f555-e663-14de-bcdc4d4c5852,1973-06-10,,999-75-8233,S99912389,X76211842X,Mr.,Eddy900,Kautzer186,,,S,white,nonhispanic,M,Watertown  Massachusetts  US,869 Will Key,Hingham,Massachusetts,Plymouth County,25023,02043,42.17721120215647,-70.89162905872764,88853.13,6772.32,155918
85066a90-9c8b-cc45-ed62-3a779a498e3b,1957-05-19,,999-68-9246,S99915967,X47343566X,Mr.,Germán350,Posada6,,,S,white,hispanic,M,Port-au-Prince  Haiti  HT,321 Hegmann Skyway Suite 46,Lawrence,Massachusetts,Essex County,25009,01840,42.67538195413669,-71.14349722047017,134624.09,185156.20,41051
481b63a1-5e4d-bdba-b974-9964c094583e,1999-12-27,,999-61-4459,S99954020,X46683535X,Ms.,Alana17,Bergnaum523,,,,white,nonhispanic,F,Brookline  Massachusetts  US,374 Spencer Way Suite 24,South Yarmouth,Massachusetts,Barnstable County,25001,02664,41.65328717989414,-70.18623571226922,27117.04,831214.21,33509
4af95a08-105d-811a-cd07-74cd297d7bc6,1954-11-17,,999-76-7003,S99923884,X51514882X,Mrs.,Sharon747,Thiel172,,Collins926,M,white,nonhispanic,F,Melrose  Massachusetts  US,459 Rau Underpass,Plymouth,Massachusetts,Plymouth County,25023,02360,41.88704600739697,-70.59476698930709,1016537.63,75482.36,53332
c2a5b22e-5965-f170-c7ef-944c4e0b33f1,1984-07-13,,999-67-7229,S99982051,X58383713X,Ms.,Nana422,Abshire638,,,S,white,nonhispanic,F,Brockton  Massachusetts  US,1082 Gutkowski Trail,North Brookfield,Massachusetts,Worcester County,25027,01535,42.23355002327026,-72.06724946787534,17690.39,1276699.04,3908
3e83dce7-a383-3306-940d-4cf7dafb03da,2012-01-27,,999-56-7091,,,,Alanna27,Weimann465,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,387 Yundt Byway,Canton,Massachusetts,Norfolk County,,00000,42.198652869213994,-71.0795377168262,18364.32,0.00,84672
